project,review_number,diff_density_design,diff_diversity_design,diff_density_impl,diff_diversity_impl,number_revisions,status,is_rebase,pattern_density_design,pattern_density_impl,pattern_diversity_design,pattern_diversity_impl
couchbase-java-client,19677,3,3,52,28,4,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,19690,11,12,62,40,5,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,19691,-4,-4,8,0,5,MERGED,yes,positive,negative,positive,invariant
couchbase-java-client,19692,-4,-4,4,-3,5,MERGED,yes,positive,negative,positive,positive
couchbase-java-client,19693,-3,-3,-19,-11,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,19694,-4,-4,-18,-14,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,19758,-5,-5,-27,-18,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,19778,-6,-6,-59,-34,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,19839,9,10,54,34,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,19840,0,0,-7,-6,3,MERGED,yes,invariant,positive,invariant,positive
couchbase-java-client,19860,0,0,5,4,1,MERGED,undefined,invariant,negative,invariant,negative
couchbase-java-client,19920,2,3,-157,-96,2,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,22973,-25,-27,-117,-67,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,25027,-4,-5,-71,-46,8,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,26557,1,1,24,8,4,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,27597,-13,-13,-126,-79,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,27608,-3,-3,-33,-26,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,27610,0,0,6,5,5,MERGED,undefined,invariant,negative,invariant,negative
couchbase-java-client,27761,0,0,-28,-10,2,MERGED,undefined,invariant,positive,invariant,positive
couchbase-java-client,27790,1,1,39,17,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,27885,-11,-11,-83,-56,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,27886,-1,-1,-46,-28,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,27916,-24,-24,-227,-136,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,28109,5,5,69,41,8,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,28389,-17,-17,-155,-94,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,28391,-4,-4,-75,-54,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,28473,-3,-3,-61,-41,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,28477,-19,-19,-155,-87,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,28599,0,0,6,1,2,MERGED,yes,invariant,negative,invariant,negative
couchbase-java-client,28693,-2,-2,-23,-23,6,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,28785,11,11,-397,-208,6,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,28786,-11,-11,-61,-40,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,28815,2,2,20,18,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,28860,-4,-4,-42,-28,6,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,28878,-19,-19,-114,-67,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,28933,-9,-9,-41,-22,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29374,-2,-2,-14,-12,4,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,29465,-2,-2,2,3,2,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,29466,0,0,-4,-3,2,MERGED,undefined,invariant,positive,invariant,positive
couchbase-java-client,29467,1,1,48,28,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,29537,18,18,219,100,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,29538,-25,-25,-273,-141,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29539,-27,-27,-299,-157,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,29541,3,3,27,19,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,29545,-35,-35,-288,-149,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29714,-32,-32,-285,-150,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29735,-29,-29,-301,-161,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29823,-3,-3,-34,-23,6,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29848,-11,-11,-34,-16,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29849,-10,-10,-68,-47,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29850,-1,-1,-18,-15,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,29887,2,2,-13,-14,5,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,30009,-8,-8,-19,-12,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,30010,-2,-2,-25,-21,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,30045,-1,-1,-5,-5,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,30372,7,7,7,5,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,30373,5,5,10,5,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,30374,-47,-47,-334,-186,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,30375,3,3,-4,-3,3,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,30702,-41,-41,-298,-164,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,31017,9,9,-409,-213,14,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,31214,-6,-6,4,11,7,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,31246,-10,-10,-105,-57,6,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,31250,-13,-13,-159,-84,4,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,31569,-13,-13,-193,-104,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,31655,3,3,14,6,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,31667,0,0,-2,0,4,MERGED,yes,invariant,positive,invariant,invariant
couchbase-java-client,31668,-4,-4,-19,-10,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,31710,-4,-4,-22,-12,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,31734,7,7,-400,-218,3,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,32305,-4,-4,-69,-50,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,32306,6,6,85,47,9,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,32355,-39,-39,-267,-158,8,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,32425,3,3,-11,0,4,MERGED,yes,negative,positive,negative,invariant
couchbase-java-client,32589,11,11,24,33,16,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,32727,-19,-19,-79,-55,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,33285,0,0,0,0,3,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,33788,-35,-35,-136,-88,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,33826,0,0,-18,-15,3,MERGED,undefined,invariant,positive,invariant,positive
couchbase-java-client,33827,0,0,0,0,2,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,33884,5,5,-477,-271,3,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,33930,-11,-11,-155,-95,6,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,34378,-2,-2,-21,-7,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,34380,0,0,2,2,2,MERGED,undefined,invariant,negative,invariant,negative
couchbase-java-client,34555,1,1,5,5,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,34626,7,7,84,53,7,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,34854,-1,-1,2,1,5,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,34885,-49,-49,-371,-198,6,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,34935,-15,-15,-80,-50,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,35264,-4,-4,-19,-11,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,35719,-19,-19,-124,-77,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,35722,0,0,0,0,2,MERGED,yes,invariant,invariant,invariant,invariant
couchbase-java-client,36290,5,5,13,7,4,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,36779,-115,-115,-533,-307,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,36828,0,0,1,1,2,MERGED,undefined,invariant,negative,invariant,negative
couchbase-java-client,36843,-4,-4,-9,-4,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,36981,-110,-110,-523,-300,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,36985,0,0,7,2,2,MERGED,yes,invariant,negative,invariant,negative
couchbase-java-client,37267,-7,-7,-26,-19,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,37382,0,0,0,0,2,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,37383,6,6,4,3,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,37500,-6,-6,-2,-2,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,37718,-113,-113,-539,-316,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,37719,-4,-4,-15,-7,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,37722,0,0,-19,-16,3,MERGED,yes,invariant,positive,invariant,positive
couchbase-java-client,37726,-3,-3,-1,-1,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,37729,-7,-7,-71,-49,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,37902,-9,-9,-26,-19,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,37960,54,54,4,1,6,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,38364,-107,-107,-546,-317,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,38668,0,0,0,0,2,MERGED,yes,invariant,invariant,invariant,invariant
couchbase-java-client,38678,-1,-1,-48,-28,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,38739,-1,-1,9,7,2,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,38796,-115,-115,-501,-288,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,38866,-2,-2,-50,-32,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,39110,-66,-66,-57,-42,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,39157,2,2,-3,-2,2,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,39265,3,3,-63,-47,2,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,39346,-114,-114,-540,-313,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,39347,-8,-8,-60,-44,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,39351,-70,-70,-46,-40,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,39412,-1,-1,9,4,3,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,39429,-116,-116,-531,-302,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,39434,-71,-71,-57,-43,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,39485,-69,-69,-40,-37,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,40058,-116,-116,-561,-325,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,40263,-2,-2,-3,-3,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,40296,-50,-50,-18,-6,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,40332,-18,-18,-87,-59,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,40335,3,3,2,6,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40336,-4,-4,0,0,3,MERGED,yes,positive,invariant,positive,invariant
couchbase-java-client,40378,6,7,1,4,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40379,-10,-10,-3,-4,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,40380,3,2,1,-1,2,MERGED,yes,negative,negative,negative,positive
couchbase-java-client,40496,7,7,69,42,2,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,40500,-7,-7,-34,-29,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,40525,2,2,-44,-19,2,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,40527,-3,-3,17,9,2,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,40536,10,10,31,25,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40538,0,0,-163,-101,2,MERGED,yes,invariant,positive,invariant,positive
couchbase-java-client,40558,8,8,60,32,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40559,-8,-7,-50,-23,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,40560,1,0,-8,-7,3,MERGED,yes,negative,positive,invariant,positive
couchbase-java-client,40564,1,1,12,7,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40685,-112,-112,-557,-324,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,40694,-83,-84,-138,-82,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,40695,-3,-3,7,4,2,MERGED,undefined,positive,negative,positive,negative
couchbase-java-client,40724,-2,-2,-12,-7,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,40726,3,3,39,16,2,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,40794,3,3,4,2,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40795,-3,-3,-2,0,2,MERGED,yes,positive,positive,positive,invariant
couchbase-java-client,40823,2,2,13,8,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40827,0,0,0,0,2,MERGED,yes,invariant,invariant,invariant,invariant
couchbase-java-client,40829,2,2,23,17,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40835,1,1,-13,-7,2,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,40838,0,1,-1,0,3,MERGED,yes,invariant,positive,negative,invariant
couchbase-java-client,40846,22,23,60,38,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,40913,-106,-106,-515,-295,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,41131,-61,-63,31,7,6,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,41352,-75,-75,-38,-20,7,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,41429,-111,-113,-286,-172,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,41431,0,0,14,9,2,MERGED,yes,invariant,negative,invariant,negative
couchbase-java-client,41433,6,6,54,28,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,41438,0,0,-54,-28,2,MERGED,undefined,invariant,positive,invariant,positive
couchbase-java-client,41454,0,0,-299,-178,2,MERGED,yes,invariant,positive,invariant,positive
couchbase-java-client,41484,-2,-2,-13,-8,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,41492,-8,-8,13,8,2,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,41677,0,0,0,0,2,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,41734,1,1,3,1,5,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,41740,0,0,-1,-1,2,MERGED,yes,invariant,positive,invariant,positive
couchbase-java-client,41741,0,0,-1,-1,2,MERGED,yes,invariant,positive,invariant,positive
couchbase-java-client,41786,0,0,1,1,2,MERGED,undefined,invariant,negative,invariant,negative
couchbase-java-client,41904,-116,-118,-286,-172,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,41945,2,2,13,7,3,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,41986,1,1,-3,1,3,MERGED,yes,negative,positive,negative,negative
couchbase-java-client,42072,0,0,-3,0,3,MERGED,yes,invariant,positive,invariant,invariant
couchbase-java-client,42073,6,6,-1,0,4,MERGED,yes,negative,positive,negative,invariant
couchbase-java-client,42074,-6,-5,7,9,3,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,42076,1,1,-303,-179,3,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,42110,0,-1,-9,-8,2,MERGED,undefined,invariant,positive,positive,positive
couchbase-java-client,42111,1,1,0,0,2,MERGED,yes,negative,invariant,negative,invariant
couchbase-java-client,42117,0,0,15,7,4,MERGED,undefined,invariant,negative,invariant,negative
couchbase-java-client,42121,1,1,-13,-6,3,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,42158,-5,-5,-36,-20,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,42159,2,2,25,6,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,42203,-2,-2,-36,-14,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,42320,0,0,-2,-2,2,MERGED,undefined,invariant,positive,invariant,positive
couchbase-java-client,42324,4,5,40,29,2,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,42331,-3,-4,-3,-14,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,42346,6,6,27,17,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,42347,1,1,1,1,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,42348,1,1,0,0,2,MERGED,undefined,negative,invariant,negative,invariant
couchbase-java-client,42349,-3,-4,-64,-36,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,42363,0,0,22,10,6,MERGED,undefined,invariant,negative,invariant,negative
couchbase-java-client,42415,0,0,-34,-16,4,MERGED,yes,invariant,positive,invariant,positive
couchbase-java-client,42417,2,2,58,37,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,42597,-4,-4,-35,-25,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,42609,0,0,-19,-8,4,MERGED,yes,invariant,positive,invariant,positive
couchbase-java-client,42711,-111,-111,-564,-328,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,43357,4,4,-299,-186,2,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,43359,1,1,-37,-18,3,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,43362,-2,-2,-3,-2,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,43407,4,4,-323,-199,4,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,43440,5,5,21,4,3,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,43556,4,4,-321,-196,4,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,43557,-2,-2,-12,-2,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,43765,-122,-124,-373,-213,6,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,43832,2,2,-13,-6,2,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,43904,-1,-1,-13,6,2,MERGED,undefined,positive,positive,positive,negative
couchbase-java-client,44015,8,9,105,65,9,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,44141,0,0,0,0,2,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,44186,-120,-122,-375,-214,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,44242,-5,-5,-39,-9,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,44380,2,2,9,0,2,MERGED,undefined,negative,negative,negative,invariant
couchbase-java-client,44381,-1,-1,-8,-2,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,44474,-7,-8,-93,-64,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,44520,-2,-2,1,6,6,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,44522,-15,-15,-85,-36,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,44525,-37,-37,-244,-114,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,44574,5,5,39,11,2,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,44595,4,4,50,38,4,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,44642,-16,-16,-126,-63,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,44699,6,6,-380,-219,2,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,44700,0,0,0,0,2,MERGED,yes,invariant,invariant,invariant,invariant
couchbase-java-client,44701,-5,-5,-39,-9,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,44702,2,2,9,0,2,MERGED,yes,negative,negative,negative,invariant
couchbase-java-client,44703,0,0,1,0,3,MERGED,yes,invariant,negative,invariant,invariant
couchbase-java-client,44704,-2,-2,-9,-2,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,44705,-3,-4,-149,-91,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,44706,-12,-13,-111,-68,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,44896,-24,-25,-197,-115,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,44900,-1,-1,-2,-9,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,44902,0,0,0,0,2,MERGED,yes,invariant,invariant,invariant,invariant
couchbase-java-client,44920,-18,-19,-193,-103,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,44921,-1,-1,-14,-6,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,44922,0,0,0,0,2,MERGED,yes,invariant,invariant,invariant,invariant
couchbase-java-client,45000,-17,-18,-213,-122,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,45021,-20,-21,-212,-116,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,45025,-26,-27,-256,-139,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,45078,-9,-9,-65,-35,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,45091,4,4,-8,4,5,MERGED,yes,negative,positive,negative,negative
couchbase-java-client,45142,-2,-2,-67,-41,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,45205,-4,-4,15,7,3,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,45214,-103,-103,-543,-311,6,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,45269,-140,-142,-529,-298,2,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,45276,0,0,2,2,3,MERGED,yes,invariant,negative,invariant,negative
couchbase-java-client,45310,0,0,-3,-4,2,MERGED,undefined,invariant,positive,invariant,positive
couchbase-java-client,45428,6,6,64,30,2,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,45437,-5,-5,-54,-26,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,45438,2,2,-5,-1,2,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,45439,-3,-3,-11,-7,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,45442,1,1,-13,-9,2,MERGED,yes,negative,positive,negative,positive
